"","UF","Pontos"
"1","AC",17
"2","AL",54
"3","AM",26
"4","BA",528
"5","CE",197
"6","DF",197
"7","ES",164
"8","GO",237
"9","MA",136
"10","MG",729
"11","MS",184
"12","MT",106
"13","PA",101
"14","PB",184
"15","PE",161
"16","PR",315
"17","RJ",338
"18","RN",111
"19","RO",27
"20","RR",23
"21","RS",147
"22","SC",40
"23","SE",81
"24","SP",541
"25","TO",140
